neigh_num,name,area_sqkm,lat,long,loc
4180,Glenwood,1.772615097451072,53.536417,-113.602770,"(53.53641656323836, -113.60276981033252)"
6340,Kameyosek,0.72159953003617,53.461919,-113.442068,"(53.46191874301442, -113.44206793447808)"
2290,Glengarry,1.34476741698757,53.595855,-113.479612,"(53.59585546340982, -113.47961172100503)"
2450,Lago Lindo,1.305512469532072,53.636039,-113.484647,"(53.636039009232206, -113.48464731636797)"
5470,Steinhauer,0.919831585997507,53.464529,-113.505938,"(53.46452881937576, -113.5059380229066)"
6280,Greenview,0.986138126998133,53.475394,-113.427810,"(53.47539385772686, -113.42780973638972)"
2650,River Valley Rundle,2.111673845014643,53.555592,-113.386939,"(53.55559246435517, -113.38693872347115)"
5465,Hays Ridge Area,2.426199658374494,53.417622,-113.577703,"(53.417622233685385, -113.57770281848491)"
5476,Magrath Heights,1.228950008846569,53.447660,-113.556723,"(53.44766007936832, -113.5567225826967)"
4530,Sunwapta Industrial,0.675263162719269,53.544978,-113.645944,"(53.54497845841337, -113.64594419155529)"
5170,Empire Park,1.072123642675319,53.484366,-113.505859,"(53.484366264491015, -113.50585873120224)"
6310,Holyrood,1.285449378220885,53.531361,-113.450190,"(53.5313605818029, -113.45018981994133)"
4017,Anthony Henday Lake District,1.999273627636847,53.646909,-113.467371,"(53.64690939449852, -113.46737130697052)"
6230,Forest Heights,1.627307555211902,53.544537,-113.451250,"(53.544537063645556, -113.45125000606618)"
5590,Blackburne,0.726414953153684,53.429071,-113.498309,"(53.42907132881578, -113.49830890165094)"
6214,Ellerslie Industrial,5.943185808806158,53.413984,-113.488153,"(53.41398409822378, -113.48815296605483)"
4016,Anthony Henday Castledowns,1.99802647749594,53.643298,-113.533281,"(53.6432978709308, -113.53328135056255)"
6250,Gainer Industrial,0.342464541730177,53.516111,-113.424517,"(53.51611056578212, -113.42451661065832)"
6320,Idylwylde,0.664832905312606,53.521630,-113.449114,"(53.52162991520384, -113.44911385648135)"
2110,Brintnell,1.409561206964593,53.621394,-113.407114,"(53.62139439686521, -113.40711430532258)"
5400,River Valley Whitemud,1.514766929702518,53.505152,-113.550470,"(53.50515157917371, -113.55046983068732)"
4474,Starling,1.422545713218063,53.592264,-113.657843,"(53.59226408660548, -113.65784285169059)"
5160,Duggan,1.390157264919576,53.471510,-113.506058,"(53.47151002842301, -113.50605757307073)"
5578,Glenridding Heights,0.925825451128406,53.420767,-113.604156,"(53.420766884437086, -113.6041560191342)"
3080,Canossa,1.298591109432813,53.636192,-113.522686,"(53.63619223058539, -113.52268633048412)"
2670,Rural North East Horse Hill,13.046535940753106,53.678290,-113.312570,"(53.67828986903232, -113.31256953529811)"
5270,Lendrum Place,0.859009434295812,53.493200,-113.522806,"(53.49320004422874, -113.52280579685477)"
2440,Klarvatten,1.656759392802267,53.637224,-113.476665,"(53.63722400173762, -113.47666510949303)"
5640,Terwillegar Towne,1.869542020885419,53.450670,-113.577738,"(53.45067025466003, -113.5777384340015)"
3450,Woodcroft,1.291675612352087,53.564595,-113.558327,"(53.56459542401217, -113.55832687217452)"
4461,The Hamptons,2.943190480988935,53.487386,-113.675687,"(53.487385599931166, -113.67568737577308)"
4380,Ormsby Place,1.350358470394976,53.499106,-113.642761,"(53.49910557156211, -113.64276055096441)"
2710,Sifton Park,0.504043519682211,53.594525,-113.408402,"(53.59452510256868, -113.4084016044548)"
5290,McKernan,0.878288836044446,53.512759,-113.520442,"(53.51275883945096, -113.52044221122382)"
6180,Eastgate Business Park,2.622638942387441,53.534014,-113.406351,"(53.534013742245406, -113.40635118722305)"
6300,Hillview,1.102185648181724,53.469740,-113.427064,"(53.4697404141144, -113.42706400402514)"
4640,Wilson Industrial,0.996486221161903,53.554077,-113.633521,"(53.55407736656933, -113.63352130902574)"
6665,Anthony Henday South East,7.4212551229577,53.443016,-113.354281,"(53.443016315443785, -113.35428113797951)"
4040,Belmead,1.280633773408026,53.525603,-113.641015,"(53.525602960944795, -113.64101498729829)"
2430,Kirkness,0.92472629853636,53.611416,-113.388399,"(53.611416205013775, -113.38839869520581)"
6780,Weir Industrial,1.634341213538808,53.511765,-113.406107,"(53.511765061429585, -113.40610727547318)"
4510,Stone Industrial,0.645861456034841,53.544958,-113.621671,"(53.54495821926104, -113.62167138133896)"
5040,Belgravia,0.867544791823104,53.511796,-113.532729,"(53.51179560322663, -113.53272944415377)"
2590,Overlanders,0.841195537984054,53.581011,-113.388176,"(53.581010650540904, -113.38817648192281)"
3160,Dominion Industrial,0.982474811019772,53.575830,-113.571851,"(53.575829793802605, -113.5718512752311)"
3200,Glenora,1.621639897459929,53.544905,-113.557042,"(53.544904705207486, -113.5570424656612)"
4470,Rural West Big Lake,2.051322731324363,53.577533,-113.677319,"(53.57753319558796, -113.67731931096367)"
5370,River Valley Mayfair,2.347954983937378,53.529565,-113.544179,"(53.52956527494185, -113.54417943367403)"
2145,Clareview Town Centre,1.363565974119541,53.601948,-113.406891,"(53.601947807307084, -113.40689125176354)"
4487,Secord,2.643753964573181,53.533937,-113.701353,"(53.53393710484201, -113.70135276518931)"
4200,High Park,0.719230112490903,53.554986,-113.584199,"(53.55498578246069, -113.58419925845797)"
4670,Winterburn Industrial Area West,4.348392386738454,53.562804,-113.701430,"(53.562803614238916, -113.70142962219319)"
6750,Tipaskan,0.804292140444663,53.461895,-113.458000,"(53.46189538249002, -113.4579998657924)"
6195,South Edmonton Common,1.401995789979624,53.446694,-113.486079,"(53.44669424067498, -113.48607861165186)"
6470,Meyonohk,0.873954039336964,53.455342,-113.457243,"(53.455341806482764, -113.45724258627415)"
5456,Heritage Valley Area,1.316920191330661,53.417641,-113.547053,"(53.41764139437991, -113.5470533386145)"
4240,La Perle,1.335331479803226,53.533088,-113.640709,"(53.53308754559413, -113.64070859243503)"
3190,Elsinore,0.841471068786406,53.640763,-113.499402,"(53.64076339210679, -113.49940214606053)"
4570,Wedgewood Heights,0.708629278872282,53.478714,-113.646580,"(53.47871449416715, -113.6465801690101)"
4720,Glastonbury,1.784946022032394,53.503187,-113.669870,"(53.503187279448504, -113.66986988345468)"
4022,Anthony Henday Clareview,1.354827185610231,53.618122,-113.357782,"(53.61812201213624, -113.35778157963838)"
